"Issue Id","Parent Id","Issue Type","Summary","Description","Assignee","Priority","Labels","Due Date"
"T-010","E-002","Task","회의록 업로드 API 및 파일 메타데이터 저장 구현","/projects/{id}/meetings API로 파일과 참석자 정보를 저장한다.","박지수","Highest","P0;backend;meeting;owner-박지수",""
"T-011","E-002","Task","meeting_attendees DB 모델 구현","회의 참석자를 프로젝트 멤버 기준으로 저장하고 기여도 근거로 사용할 수 있게 한다.","박지수","High","P0;db;meeting;owner-박지수",""
"S-005","E-002","Story","LLM 회의 분석 결과를 구조화한다","회의록 텍스트에서 요약, 결정사항, 위험요소, To-Do 후보를 JSON으로 생성한다.","박지수","Highest","P0;llm;meeting-analysis;owner-박지수",""
"T-012","E-002","Task","/ai/meeting/analyze 엔드포인트 구현","텍스트 입력을 받아 summary, decisions, risks, action_items 구조로 반환한다.","박지수","Highest","P0;ai;llm;owner-박지수",""
"T-013","E-002","Task","회의 분석 결과 화면 구현","요약, 결정사항, 위험요소, To-Do 후보 리스트를 사용자에게 표시한다.","박지수","Highest","P0;frontend;meeting;owner-박지수",""
"T-014","E-002","Task","분석 상태 폴링 및 오류 상태 처리 구현","analysisStatus/jobId 기반으로 분석 중, 완료, 실패 상태를 처리한다.","박지수","High","P0;async;meeting;owner-박지수",""
"S-006","E-002","Story","To-Do 후보를 검토 후 업무로 승인한다","담당자가 명확한 업무는 자동 배정하고 미배정 업무는 팀장이 수정 후 보드에 등록한다.","박지수","Highest","P0;todo;task;owner-박지수",""
"T-015","E-002","Task","To-Do 후보 검토/수정 UI 구현","담당자, 마감일, 우선순위 수정 후 승인할 수 있는 UI를 구현한다.","박지수","Highest","P0;frontend;todo;owner-박지수",""
"T-016","E-002","Task","To-Do 승인 API 구현","/meetings/{id}/todos/approve에서 선택된 후보를 tasks 테이블에 생성한다.","박지수","Highest","P0;backend;todo;owner-박지수",""
"S-007","E-002","Story","음성 회의 STT를 제공한다","마이크 또는 음성 파일을 Whisper로 전사하고 기존 회의 분석 파이프라인에 연결한다.","박지수","Medium","P1;stt;whisper;owner-박지수",""
"T-017","E-002","Task","브라우저 녹음 UI 구현","MediaRecorder 기반 녹음 시작/일시정지/종료 및 업로드 흐름을 구현한다.","박지수","Medium","P1;frontend;stt;owner-박지수",""
"T-018","E-002","Task","/ai/stt/transcribe 엔드포인트 구현","Whisper API 또는 local Whisper로 오디오를 텍스트로 변환한다.","박지수","Medium","P1;ai;stt;owner-박지수",""
"E-003","","Epic","FS-3 대시보드/ML 위험도","진행률, 마감 임박, 최근 활동, ML 지연 위험도와 업무 편중 점수를 구현한다.","유소은","Highest","P0;dashboard;ml;owner-유소은",""
"S-008","E-003","Story","프로젝트 대시보드 기본 집계를 제공한다","전체 진행률, D-day, 마감 임박 업무, 최근 활동을 표시한다.","유소은","Highest","P0;dashboard;aggregation;owner-유소은",""
"T-019","E-003","Task","대시보드 카드 UI 구현","전체 진행률, D-day, 마감 임박, 최근 활동 카드와 차트를 구현한다.","유소은","Highest","P0;frontend;dashboard;owner-유소은",""
"T-020","E-003","Task","대시보드 summary/workload API 구현","/dashboard/summary, /dashboard/workload API에서 업무 상태와 멤버별 집계를 반환한다.","유소은","Highest","P0;backend;dashboard;owner-유소은",""
"T-021","E-003","Task","activities 이벤트 로그 저장 구현","업무 변경, 회의록 분석, 산출물 생성 등 최근 활동을 저장한다.","유소은","High","P0;db;activity;owner-유소은",""
"S-009","E-003","Story","ML 지연 위험도 예측을 제공한다","업무 상태, 마감일, 진행률, 담당자 업무량 기반으로 정상/주의/위험을 예측한다.","유소은","Highest","P0;ml;delay-risk;owner-유소은",""
"T-022","E-003","Task","지연 위험도 baseline 모델 구현","규칙 기반 또는 LightGBM baseline으로 위험 등급과 score를 반환한다.","유소은","Highest","P0;ai;ml;owner-유소은",""
"T-023","E-003","Task","/ai/ml/delay-risk 연동 및 예측 저장 구현","AI 예측 결과를 ml_predictions에 저장하고 조회 API로 제공한다.","유소은","High","P0;backend;ml;owner-유소은",""
"T-024","E-003","Task","업무 상세/대시보드 위험도 표시 구현","예측 등급과 score를 대시보드와 업무 상세에 표시한다.","유소은","High","P0;frontend;ml;owner-유소은",""
"S-010","E-003","Story","업무 편중 점수를 제공한다","팀원별 업무 수, 난이도, 완료율, 마감 임박 업무를 기반으로 과부하 점수를 표시한다.","유소은","High","P0;ml;overload;owner-유소은",""
"T-025","E-003","Task","업무 편중 점수 baseline 구현","룰 기반 score 또는 회귀 모델 baseline으로 과부하 점수를 계산한다.","유소은","High","P0;ai;ml;owner-유소은",""
"T-026","E-003","Task","팀원별 업무량 차트와 과부하 표시 구현","멤버별 업무 수, 완료율, 과부하 점수를 차트로 표시한다.","유소은","High","P0;frontend;dashboard;owner-유소은",""
"S-011","E-003","Story","AI 추천 액션을 표시한다","위험 예측과 업무 현황을 기반으로 재배정/우선 처리 액션 문장을 생성한다.","유소은","Medium","P0;llm;recommendation;owner-유소은",""
"T-027","E-003","Task","/ai/llm/recommend-actions 엔드포인트 구현","위험 예측과 팀 현황을 입력받아 추천 액션 문장을 생성한다.","유소은","Medium","P0;ai;llm;owner-유소은",""
"E-004","","Epic","FS-4 AI Assistant/RAG","프로젝트 데이터 기반 Q&A, embedding, vector DB 검색, 출처 표시를 구현한다.","박상준","Highest","P0;assistant;rag;owner-박상준",""
"S-012","E-004","Story","프로젝트 문서를 RAG 인덱싱한다","회의록, To-Do, 산출물, GitHub 기록을 chunk로 저장하고 embedding을 생성한다.","박상준","Highest","P0;rag;embedding;owner-박상준",""
"T-028","E-004","Task","document_chunks 및 pgvector 스키마 구현","source_type/source_id/content/embedding 구조로 프로젝트 문서 chunk를 저장한다.","박상준","High","P0;db;rag;owner-박상준",""
"T-029","E-004","Task","/ai/rag/index 엔드포인트 구현","새 문서와 업무 데이터를 chunking하고 embedding 후 저장한다.","박상준","Highest","P0;ai;rag;owner-박상준",""
"S-013","E-004","Story","출처 포함 프로젝트 Q&A를 제공한다","사용자 질문에 프로젝트 근거를 검색해 답변하고 출처를 함께 표시한다.","박상준","Highest","P0;assistant;qa;owner-박상준",""
"T-030","E-004","Task","Assistant 채팅 UI 구현","질문 입력, 답변 표시, 출처 뱃지, 대화 히스토리 UI를 구현한다.","박상준","Highest","P0;frontend;assistant;owner-박상준",""
"T-031","E-004","Task","/assistant/ask API와 권한 필터 구현","프로젝트 역할에 맞는 데이터만 검색하도록 권한 필터를 적용한다.","박상준","Highest","P0;backend;assistant;owner-박상준",""
"T-032","E-004","Task","/ai/rag/ask 엔드포인트 구현","질문 embedding 검색 후 LLM 답변과 source 목록을 반환한다.","박상준","Highest","P0;ai;rag;owner-박상준",""
"E-005","","Epic","FS-5 산출물 생성","발표자료, 보고서, README, 제안서, 실험 보고서 초안 생성과 검수 흐름을 구현한다.","고무서","High","P0;deliverable;llm;owner-고무서",""
"S-014","E-005","Story","산출물 유형 선택과 생성 옵션을 제공한다","사용자는 발표자료, 보고서, README 등 산출물 유형과 생성 옵션을 선택한다.","고무서","High","P0;deliverable;frontend;owner-고무서",""
"T-033","E-005","Task","산출물 홈과 유형 선택 화면 구현","산출물 목록, 유형 선택, 생성 옵션 입력 화면을 구현한다.","고무서","High","P0;frontend;deliverable;owner-고무서",""
"T-034","E-005","Task","deliverables 생성/조회/수정 API 구현","/deliverables 생성, 조회, 수정, finalize API와 상태 관리를 구현한다.","고무서","High","P0;backend;deliverable;owner-고무서",""
"S-015","E-005","Story","LLM 산출물 초안을 생성한다","프로젝트 컨텍스트를 기반으로 발표자료, 보고서, README 초안을 구조화해 생성한다.","고무서","Highest","P0;llm;deliverable;owner-고무서",""
"T-035","E-005","Task","/ai/deliverable/generate 엔드포인트 구현","유형과 프로젝트 컨텍스트를 입력받아 JSON/Markdown 초안을 생성한다.","고무서","Highest","P0;ai;llm;owner-고무서",""
"T-036","E-005","Task","유형별 프롬프트 템플릿 작성","발표자료, 보고서, README, 제안서, 실험 보고서별 출력 스키마와 프롬프트를 작성한다.","고무서","High","P0;prompt;deliverable;owner-고무서",""
"T-037","E-005","Task","산출물 편집기와 검수 상태 UI 구현","초안/검수중/확정 상태 표시와 Markdown 편집 UI를 구현한다.","고무서","High","P0;frontend;deliverable;owner-고무서",""
"S-016","E-005","Story","산출물 파일 다운로드를 제공한다","확정된 산출물을 PPT/PDF/DOCX 파일로 변환해 다운로드한다.","고무서","Low","P2;download;deliverable;owner-고무서",""
"T-038","E-005","Task","PPT/PDF/DOCX 변환 파이프라인 설계","python-pptx, ReportLab 기반 파일 변환 구조를 설계한다.","고무서","Low","P2;backend;file;owner-고무서",""
"E-006","","Epic","FS-6 업무 보드/GitHub","카테고리별 업무 보드, 상세 패널, 체크리스트, GitHub 커밋 연동을 구현한다.","허영주","Highest","P0;P1;board;github;owner-허영주",""
"S-017","E-006","Story","상태 기반 칸반 업무 보드를 제공한다","할 일, 진행 중, 보류/블로커, 완료 4개 컬럼으로 업무를 조회하고 이동한다.","허영주","Highest","P0;board;kanban;owner-허영주",""
"T-039","E-006","Task","칸반 보드 UI와 드래그 상태 이동 구현","상태 컬럼, 업무 카드, 드래그로 상태 변경하는 UI를 구현한다.","허영주","Highest","P0;frontend;board;owner-허영주",""
"T-040","E-006","Task","Task CRUD API 구현","/projects/{id}/tasks, /tasks/{id} 조회/생성/수정/삭제 API를 구현한다.","허영주","Highest","P0;backend;task;owner-허영주",""
"S-018","E-006","Story","카테고리별 업무 생성과 상세 패널을 제공한다","업무 생성 시 카테고리를 먼저 선택하고 공통/전용 필드를 입력한다.","허영주","Highest","P0;task-category;detail;owner-허영주",""
"T-041","E-006","Task","업무 생성 모달 구현","기획, 프론트엔드, 백엔드, AI/ML 등 카테고리 선택 후 업무 정보를 입력한다.","허영주","Highest","P0;frontend;task;owner-허영주",""
"T-042","E-006","Task","업무 상세 우측 패널 구현","상태, 담당자, 마감일, 우선순위, 설명, 체크리스트를 편집한다.","허영주","Highest","P0;frontend;task;owner-허영주",""
"T-043","E-006","Task","체크리스트 API 구현","/tasks/{id}/checklists 생성, 수정, 삭제 API를 구현한다.","허영주","High","P0;backend;checklist;owner-허영주",""
"S-019","E-006","Story","GitHub 저장소 연동과 활동 조회를 제공한다","프로젝트 GitHub 저장소를 연결하고 커밋/Issue 활동을 수집한다.","허영주","Medium","P1;github;integration;owner-허영주",""
"T-044","E-006","Task","GitHub 저장소 연결 API 구현","/projects/{id}/github/connect에서 저장소 URL과 토큰 정보를 등록한다.","허영주","Medium","P1;backend;github;owner-허영주",""
"T-045","E-006","Task","GitHub records 수집 및 webhook 구현","커밋, 브랜치, Issue 데이터를 github_records에 저장하고 webhook 갱신을 처리한다.","허영주","Medium","P1;backend;github;owner-허영주",""
"T-046","E-006","Task","GitHub 활동 패널 구현","커밋/Issue 목록, 업무 연결 정보, diff 뷰어 진입 UI를 구현한다.","허영주","Medium","P1;frontend;github;owner-허영주",""
"S-020","E-006","Story","업무 우선순위 자동 추천을 제공한다","업무 제목/설명 기반으로 우선순위를 자동 추천한다.","허영주","Low","P1;bert;priority;owner-허영주",""
"T-047","E-006","Task","업무 우선순위 분류 baseline 구현","BERT 또는 규칙 기반 baseline으로 높음/중간/낮음 우선순위를 추천한다.","허영주","Low","P1;ai;bert;owner-허영주",""
"E-007","","Epic","FS-7 심사자/기여도/QA","심사자 대시보드, 개인별 기여도 리포트, AI 평가 근거, 점수 공개와 QA를 구현한다.","이은주","Highest","P0;P1;reviewer;contribution;qa;owner-이은주",""
"S-021","E-007","Story","심사자 전용 기여도 리포트를 제공한다","업무, 회의 참석, GitHub, 산출물 기반 개인별 활동 요약과 근거를 표시한다.","이은주","Highest","P0;reviewer;contribution;owner-이은주",""
"T-048","E-007","Task","심사자 프로젝트 목록과 기여도 화면 구현","담당 프로젝트 목록, 개인별 리포트, 근거 출처 UI를 구현한다.","이은주","Highest","P0;frontend;reviewer;owner-이은주",""
"T-049","E-007","Task","기여도 리포트 조회 API 구현","/projects/{id}/contributions와 /members/{userId}/contribution을 심사자 전용으로 구현한다.","이은주","Highest","P0;backend;contribution;owner-이은주",""
"T-050","E-007","Task","/ai/contribution/summarize 엔드포인트 구현","업무, 회의, GitHub, 산출물 활동 데이터를 근거 포함 요약으로 변환한다.","이은주","High","P0;ai;llm;owner-이은주",""
"S-022","E-007","Story","개인/팀 코멘트와 평가 점수를 관리한다","심사자는 최종 점수를 입력하고 공개 여부를 설정하며 코멘트를 작성한다.","이은주","High","P1;evaluation;comment;owner-이은주",""
"T-051","E-007","Task","코멘트 작성/조회 API 구현","개인 코멘트와 팀 코멘트를 권한별로 작성/조회할 수 있게 한다.","이은주","High","P1;backend;comment;owner-이은주",""
"T-052","E-007","Task","평가 점수 입력 및 공개 설정 UI/API 구현","심사자 점수 입력, 공개/비공개 토글, 공개 시 학생 조회 흐름을 구현한다.","이은주","High","P1;frontend;backend;evaluation;owner-이은주",""
"T-053","E-007","Task","audit_logs 저장 구현","기여도 리포트 조회, 점수 입력, 공개 설정 변경 등 평가 관련 행위를 기록한다.","이은주","Medium","P1;audit;security;owner-이은주",""
"S-023","E-007","Story","기여도 이상치 탐지를 제공한다","멤버별 활동 피처를 기반으로 낮은/높은 기여 패턴을 탐지한다.","이은주","Medium","P1;ml;anomaly;owner-이은주",""
"T-054","E-007","Task","Isolation Forest baseline 구현","커밋, To-Do 완료, 회의 참여, 문서 작성 피처로 이상치 여부를 반환한다.","이은주","Medium","P1;ai;ml;owner-이은주",""
"S-024","E-007","Story","통합 QA와 권한 시나리오를 검증한다","회의록 업로드부터 평가 근거 확인까지 최종 데모 흐름과 권한 차단을 검증한다.","이은주","Highest","P0;qa;demo;owner-이은주",""
"T-055","E-007","Task","권한/RBAC 테스트 케이스 작성 및 실행","팀장/팀원/심사자별 허용/차단 시나리오를 검증한다.","이은주","Highest","P0;qa;rbac;owner-이은주",""
"T-056","E-007","Task","최종 데모 E2E 시나리오 검증","회의록 업로드, To-Do 생성, 보드 반영, 대시보드, Assistant, 산출물, 심사자 평가 흐름을 검증한다.","이은주","Highest","P0;qa;e2e;owner-이은주",""
"E-008","","Epic","공통 통합/인프라","프론트엔드, 백엔드, AI 백엔드, DB, 비동기 처리, 배포 기반을 통합한다.","곽진아","Highest","P0;infra;integration;owner-곽진아",""
"S-025","E-008","Story","공통 API 규칙과 응답 envelope를 적용한다","모든 API는 /api/v1 기준, {success,data,error} 응답 규칙과 공통 오류 코드를 따른다.","곽진아","Highest","P0;api;contract;owner-곽진아",""
"T-057","E-008","Task","공통 응답 envelope와 오류 코드 구현","성공/실패 응답 형식, 상태 코드, 예외 핸들러를 구현한다.","곽진아","Highest","P0;backend;api;owner-곽진아",""
"T-058","E-008","Task","프론트 API 클라이언트 공통 처리 구현","JWT 헤더, refresh, envelope unwrap, 오류 토스트 처리를 구현한다.","곽진아","High","P0;frontend;api;owner-곽진아",""
"S-026","E-008","Story","비동기 처리와 상태 폴링 기반을 구축한다","회의록 분석, STT, GitHub 동기화, 산출물 생성, RAG 인덱싱 작업을 비동기로 처리한다.","박지수","High","P0;async;queue;owner-박지수",""
"T-059","E-008","Task","Redis Queue 작업 처리 구조 구현","AI 분석과 동기화 작업을 queue로 넘기고 jobId/status를 반환한다.","박지수","High","P0;backend;queue;owner-박지수",""
"T-060","E-008","Task","공통 작업 상태 폴링 컴포넌트 구현","분석 중/생성 중/실패/완료 상태를 재사용 가능한 UI로 처리한다.","박지수","Medium","P0;frontend;async;owner-박지수",""
